"id_estabto","nombre","id_tipo","latitud","longitud","id_tamano","id_costo","id_usr","id_tp_user","usuario","contrasena","id_srv","tipo","id_estabto_usuario","precio","usr_estabto"
1,"hogar de San Juan","hospedaje",65464.15,12354.5,"pequeño","economico",1,"administrador n2","llopez","gtds",1,"enderezado",14,25,"mario"
2,"Salvador Deli","restaurante",12584.52,21895.2585,"mediano","asequible",2,"administrador n1","mmiranda","sdft6g7",2,"cena completa",2,62,"mmiranda"
3,"hotel del bosque","hospedaje",88529.98541,5284.652,"mediano","costoso",3,"administrador n1","mynor","gb55",3,"almuerzo simple",7,352,"hoswaldo"
4,"posada maria","hospedaje",8456.85412,632,"grande","ejecutivo",4,"administrador n1","bryayam","f446hjg",4,"desayuno completo",8,32.1,"israel"
5,"hostal funes","hospedaje",962.98542,6985,"grande","costoso",5,"administrador n1","oswaldo","rfr56f",5,"desayuno rapido",9,25.25,"vasquez"
6,"hotel gran rivera","hospedaje",8542.9652,9856320.6,"mediano","asequible",6,"administrador n2","htaracena","fg57h",6,"desayuno economico",10,52,"vbryan"
7,"la buena carne","restaurante",8412,9852.0254,"mediano","asequible",7,"administrador n3","hoswaldo","fag56",7,"almuerzo ejecutivo",21,85,"matilda"
8,"don rodrigo","restaurante",859652.9852,9862.035,"grande","costoso",8,"usuario","israel","sdh678",8,"banquete",2,684,"mmiranda"
9,"comida san lucas","restaurante",8423.369874,98456320.61,"mediano","ejecutivo",9,"administrador n2","vasquez","65s4dg5",9,"bufe",7,100,"hoswaldo"
10,"la pasadita","restaurante",9854223.369,54120.9845,"mediano","costoso",10,"establecimiento","vbryan","d5fd5s4d6",10,"pintado",27,25,"carlos85"
11,"enderezado don martin","taller",123.5,1585.95,"grande","asequible",11,"usuario","luis","dgf85e",11,"enderezado mecanico",11,268,"luis"
12,"sistema electricos mejorados","taller",53.95,98620.36541,"mediano","economico",12,"administrador n3","juan","dki5",12,"calibracion de llantas",15,26,"lucia"
13,"ultra sensores","taller",5463,25841.9852,"grande","costoso",13,"administrador n2","gonzales","85sd2fg",13,"limpiado de vidrios",16,25,"marisol"
14,"enderezado lo d esiempre","taller",8416.36984,1025685201.321,"pequeño","ejecutivo",14,"administrador n3","mario","8sdf25",14,"super",15,125.2,"lucia"
15,"shell mixco","gasolinera",541.65,541205410.52,"grande","costoso",15,"usuario","lucia","sdfg84",15,"regular",16,12.6,"marisol"
16,"shell san lucas 1","gasolinera",954126.65,5123.012,"pequeño","asequible",16,"establecimiento","marisol","8745df",16,"diesel",15,12.2,"lucia"
17,"hostal buen dormir","hospedaje",6523.365,3210.0852,"mediano","asequible",17,"administrador n3","melany","sd5",17,"regular",16,451.156,"marisol"
18,"las tres comidas","restaurante",123333.5,8510.5201,"pequeño","costoso",18,"administrador n1","system","f8t2",18,"super",30,15.5,"administrador"
19,"escapes san jorge","taller",541.6,985201.6521,"grande","ejecutivo",19,"administrador n1","admin",6532,19,"diesel",30,55,"administrador"
20,"hotel del paso","hospedaje",65423.12,85420.0521,"mediano","costoso",20,"establecimiento","daniel","ert",20,"calibrado de llantas",30,52,"administrador"
21,"las galletas de mama","restaurante",12354.321,1265210.32,"grande","asequible",21,"administrador n3","matilda","tyes66",21,"camnio de aceite",28,86,"manalberto"
22,"pintura la pintada","taller",1585,126542.021,"mediano","economico",22,"administrador n2","jazucena","4redf5",22,"camnio de llantas",14,1.36,"mario"
23,"hotel camino real","hospedaje",325,5420.65412,"grande","costoso",23,"administrador n3","mgarcia","dfs5",23,"sistema electrico",13,254.36,"gonzales"
24,"mcdonalds queztaltenango","restaurante",13574.685,1236542.1,"grande","ejecutivo",24,"establecimiento","operalta","zxcv6sadt",24,"cambio de bomba de gasolina",19,84.25,"admin"
25,"hotel huehuetenango","hospedaje",12389.396,1258789652.12,"mediano","asequible",25,"usuario","abigailm",4665,25,"caja de velocidades",19,653.21,"admin"
26,"pollo campero zona 1","restaurante",1212135.5,54121125.123,"pequeño","economico",26,"administrador n3","oiu125d2","agf5",26,"servicio a la habitacion",5,36.21,"oswaldo"
27,"automotriz y repuestos CS","taller",1204520.38,121021.32,"grande","asequible",27,"establecimiento","carlos85","654dg",27,"postre",25,521.2,"abigailm"
28,"puma zona 11","gasolinera",10258756.69521,1354.651,"mediano","ejecutivo",28,"usuario","manalberto","sdf521",28,"limpieza",25,63.5,"abigailm"
29,"carnes de Argentina","restaurante",9520.7863,121.51,"grande","costoso",29,"establecimiento","locastar","5dsf54",29,"super",28,25,"manalberto"
30,"texaco san juan","gasolinera",95210.62,51254.652,"mediano","asequible",30,"administrador n1","administrador","dfg54",30,"flechas ",27,153.6,"carlos85"
